key,title,id,format,raw_talkType,talkType,level,tags,speaker,partner,allroom,videoId,presentation,abstract,description
convto,Go runtime の歩き方,convto,conference,Lightning Talk (5 minutes),lt_session,Intermediate,,convto,,false,,,"ある程度 Go での開発経験をつむと、 goroutine や channel の動作原理を知るために Go の runtime パッケージのソースを読みたいことがあると思います。

しかし Go の runtime は plan9 ベースのアセンブリでの実装があったり、他ではあまり見かけない compiler directive を使用していたり、 所見だと built in 関数の名称がわからなかったり、前知識なしにコードが追いづらいです。

そこでこれらの解説や objdump で built in 関数を追う手法を紹介し、 runtime パッケージを読むための前提知識をまとめます。","このトークでは Go の runtime パッケージのコードを読むための前提知識をまとめることを試みます。
Go runtime では plan9 ベースのアセンブリでの実装や、各種 compiler directive を使った実装があります。
また、所見では built in 関数の名称がわからなかったりなど、前知識がないとコードが追いづらいです。
そこで、 Go runtime を読む上で把握しておくとコードが読みやすくなるような知識をまとめることで、 Go runtime に興味のある Go ユーザーの最初の一歩を手助けします。"
_pongzu,外部コマンドの実行を含む関数のテスト,_pongzu,conference,Lightning Talk (5 minutes),lt_session,Intermediate,,_pongzu,,false,,,Goではos/execが提供するCmd構造体が持つRun()メソッドを通じて簡単に外部コマンドを実行することが可能です。この処理をテスト時にモックに差し替える方法について様々なアプローチがありますが、標準パッケージ(os/exec_test.go)が実践していた方法がとても面白いと思いました。テスト実行時にテスト自身のバイナリを利用して外部コマンドの実行だけをモック化し、任意の結果を返すexec.Cmd構造体を作成する方法（トリック？）について説明し、それを応用して実際にユニットテストをしてみた話をしたいと思います。,"## アジェンダ
- 自己紹介
- `exec_test.go`の実装について
   - `go test`の簡単な仕組み
   - `func helperCommand()`
      - `exec.Command()`にテスト自身のバイナリを外部コマンドとして渡す
      - コマンドの実行時に`-test.run`で指定した`TestHelperProcess`を呼び出す
      - 環境変数`GO_WANT_HELPER_PROCESS=1`をセット
   - `func TestHelperProcess()`
      - `GO_WANT_HELPER_PROCESS=1`がセットされた場合のみモック対象として処理する
      -  任意の結果を返すコマンドを書く
- `exec_test.go`を参考にして実際にユニットテストを書いてみる

## サンプルコード
https://github.com/pongzu/testing-exec-sample"
ryushi,Go で RDB に SQL でアクセスするためのライブラリ Kra の紹介,ryushi,conference,Long Session (40 minutes),long_session,Intermediate,,ryushi,,false,,,Go で PostgreSQL を使ったアプリケーションを実装する際に、単一のトランザクション内で通常の SQL を発行すると共に CopyFrom を使ったバルクインサートができるDBアクセスライブラリKraを紹介します。,"# Go で RDB に SQL でアクセスするためのライブラリ Kra の紹介

Go で PostgreSQL を使ったアプリケーションを実装する際に、単一のトランザクション内で通常の SQL を発行すると共に CopyFrom を使ったバルクインサートをしたいと思ったことはありませんか？

この極めてシンプルな要求を満たす OSS ライブラリを私は見つけられなかったことから開発は始まりました。

このトークでは、根本となる小さな要求を満たしつつ、Go で RDB を使ったアプリケーションを実装するために、標準ライブラリがサポートしない機能を付加したライブラリである Kra を紹介します。

# 対象者

- Go の database/sql やその他の DB アクセスライブラリを使ったことのある中級者
- Go で新しいライブラリを書く際の参考情報を探している上級者

# 内容

このトークを聞くと Kra を使ってシンプルにデータベースアクセスするコードが書けるようになります。

加えて、Kra を実装する際に私が考えたライブラリ設計について理解できます。

Kra の思想を理解することで、そのまま使うだけでなくご自分にとって都合のいい部分だけを取り出して再利用できるようになります。

## Kra を実装した理由

### Go における DB ライブラリの分類

### SQL こそが RDB アクセスの基本

### database/sql でドライバ固有機能を使うことの難しさ

## Kra の使い方

### ドット記法をサポートする名前付きパラメータの使い方

### 構造体に結果セットをマッピングする

### IN 句に対するスライスのマッピング

## Kra の設計

### context.Context に対する考え方

### ドライバレイヤ API の抽象化と脱出口

### カスタマイズ性の追求

### 実行時型情報のキャッシュ
"
nsega,The introduction of my way to learn Go together with Go community.,nsega,conference,Challenge Session (20 minutes),challenge_session,All,,nsega,,false,,,"I will share how I had chosen to learn Go together with my Go community, keeping in mind the advantages and disadvantages in each case, based on my learning curve from when I first started learning Go. I will explain the advantages and disadvantages in each case through practical experience.","I am now developing and operating microservices at Mercari, Inc., using Go as my primary development language.

I have started using Go for the first time since I started working at Mercari. To deepen my understanding of Go, I learned many things while participating in various Go communities.
I have got used to developing with Go. And leading the team's development, presenting at internal Go study sessions, and organizing ""mercari.go"", a Go study session as a meetup.

In this session, I will share how I have chosen to learn with the Go community, keeping in mind the pros and cons of each case based on my learning curve since I started learning Go."
rytswd,Go Module with Microservices and Monorepo: Clear Dependencies with Ease of Development,rytswd,conference,Short Session (20 minutes),short_session,All,,rytswd,,false,,,"Go Module is certainly an integral part of the Go ecosystem today. But perhaps because of its relatively recent inception, it can be confusing how to integrate with some specific needs. In this talk, we'll see how Go module can work extremely well with microservices and monorepo.","Go Module is great. It allows simple development workflow, without too much prior knowledge of `GOPATH` or anything special. When you start your new Go project, the first thing is to run `go mod init github.com/me/myrepo`, and you are all set. It just works. But when you try to do something a bit more involved, such as having a private repository, having a monorepo with many modules, or both, it can be confusing how to wire up all the dependencies.

In this talk, we will take a quick look at some implementation details of Go Module, and some key concepts such as `GOPRIVATE` environment variable and the like.

From there, we will work our way up to setting up a monorepo with handful of microservices, in a private repository, and with our own domain. We will look at how dependency management is made clear and easy with such setup."
yyoshiki41,GoでAPI クライアントの実装,yyoshiki41,conference,Short Session (20 minutes),short_session,All,,yyoshiki41,,false,,,"HTTP APIクライアントの実践的な実装方法を紹介します。
外部HTTP APIの抽象化、使いやすいものにするためのノウハウを紹介したいと思います。","HTTP APIクライアントの実践的な実装方法を紹介します。

- 標準的なHTTPリクエストメソッドの汎用的な実装方法
- 認証（OAuth2や独自の認証ヘッダーが必要への対応など）
- multipart/form-data への対応
- エラー時のレスポンスハンドリング
- logger や http.Client の拡張性の確保 - swagger など、IDLからのコード生成"
saicologic,GoとLambdaを使用した高パフォーマンスでサーバレスなマイクロサービスの開発と運用,saicologic,conference,Short Session (20 minutes),short_session,Beginner,,saicologic,,false,,,2018年にAWSLambda上でgoランタイムが使えるようになってから3年がたちました。他のランタイムに比べてまだまだGoでの実装事例が少なく、Lambdaの開発に採用していいのか、他に比べてパフォマンスは良いのか気になる方がいるのではないでしょうか？実際にSendgridのメール配信のイベント結果をWebhookで収集した時の事例をお話します。,メール配信SaaSのSendgridのWebhookをAPIGateway + Lambda + Goで実装した事例紹介です。メール配信の不達の理由を特定するためにメールログを記録する仕組みに採用しました。いままでLambdaの開発にはNode.jsランタイムを利用していましたが、バックエンドの開発はGoが95%を締めており、サーバーレスもGoを利用することになり、実際に開発してみて他の人でもGoを採用するきっかけにしたいと思っています。また、API-Gateway + Lambda構成を前提として、公式SDKの、aws-lambda-goについても解説します
hgsgtk,HTTP Tunneling in Go,hgsgtk,conference,Challenge Session (20 minutes),challenge_session,Intermediate,,hgsgtk,,false,,,"HTTP Tunneling can be used in situations similar to the requirements of using VPN, for example, to be able to access a localhost server from outside. This talk will introduce the specific implementation of HTTP tunneling and give audiences a deep knowledge of TCP and HTTP level implementation in Go.","While it is common to implement HTTP servers or proxies, there are probably few people who have ever implemented an HTTP-level tunnel.

HTTP Tunneling can be used in situations similar to the requirements of using a VPN, for example, to be able to access a localhost server from outside. 

In this talk, I will introduce specific implementation concepts to archive this. This talk will give audiences a deep knowledge of TCP and HTTP level implementation in Go. 

Two tunnel designs will be discussed.

1. HTTP Tunnel using HTTP method `CONNECT`
2. WebSocket HTTP tunneling

The following technical issues and solutions will be explained while showing Go code in touching on the above designs.

- Basic knowledge of TCP sessions and how to handle them in Go
- Packet transferring
- Periodic communication implementation of maintaining tunnel connection
- Design and implementation of WebSocket server and client
- Shutdown implementation to handle system signals
- ...etc

This talk will provide time to learn basic concepts not limited to Go, such as TCP, HTTP, WebSocket, etc..., as well as Go implementation under a little bit complex requirements at the intermediate level and above."
sago35tk,IoT with TinyGo,sago35tk,conference,Short Session (20 minutes),short_session,Intermediate,,sago35tk,,false,,,"昨今の組込分野では IoT というキーワードで `つながるデバイス` の魅力が高まっています。
`つながるデバイス` の場合、何らかのネットワークへの接続が必須となります。

このセッションでは TinyGo を用いた Go 言語による IoT 対応デバイス作成例を示し、他の環境 (例えば C/C++ 相当の環境である Arduino など) との違い、長所短所について説明します。
また、 Go は分かるが組込分野は分からない、難しそう、といった人の理解が一歩進むように手助けします。

以上により、誰でも TinyGo を使って IoT デバイスを作成出来るようになります。","Go 言語は理解しているが組込分野 / 組込開発で良く使われている C/C++ は苦手、というケースは多いと思います。
TinyGo を使用すると Go 言語の理解のみで小さくて電池駆動可能な IoT デバイスを作れるようになります。
このトークでは Go 言語ユーザーが他の言語を覚えることなく Go / TinyGo により IoT デバイスを作成できるように導入を行います。

### 概要
TinyGo はマイコンや WASM などの Small Places 向けの Go Compiler です。

昨今の組込分野では IoT というキーワードで `つながるデバイス` の魅力が高まっています。
`つながるデバイス` の場合、何らかのネットワークへの接続が必須となります。

このセッションでは TinyGo を用いた Go 言語による IoT 対応デバイス作成例を示し、他の環境 (例えば C/C++ 相当の環境である Arduino など) との違い、長所短所について説明します。
また、 Go は分かるが組込分野は分からない、難しそう、といった人の理解が一歩進むように手助けします。

以上により、誰でも TinyGo を使って IoT デバイスを作成出来るようになります。

前回の Go Conference 2021 Autumn で TinyGo のハンズオンを実施しました。
しかし、時間の関係もありネットワークに接続する例をやってもらう事は出来ませんでした。

このトークでは Go 言語ユーザーが他の言語を覚えることなく Go / TinyGo により IoT デバイスを作成できるように導入を行います。
以下の理由により (特に Go 言語ユーザーにとって) 他の環境よりも全体像をつかみやすいです。

* どこまで実装を追いかけていっても Go で実装されている
    * LSP / gopls でどこまでも実装を追いかけることができる
    * ほとんどの TinyGo 標準 / 外部 package が Pure Go で書かれている
* 読みやすいソースコード
* 通信相手側も同じ言語 (Go 言語) で実装することができる

### 対象

以下を対象としています。
もちろん、既に経験豊富な人も歓迎します。

* Go を少し書いたことがある
* C/C++ は苦手
* 組込マイコンで遊んだことが無い
* TinyGo を使ったことが無い
* 組込やるなら Go でやってみたい"
lestrrat,GoらしいAPIを求める旅路 並行処理編,lestrrat,conference,Short Session (20 minutes),short_session,Intermediate,,lestrrat,,false,,,"Goではユーザは簡単にgoroutineを作成して使用することができます。
逆にライブラリ提供者はオブジェクトを提供した際にどのメソッドでも簡単に`go`キーワードをつけて実行されることを意識しないといけません。

このトークでは「Goらしく」そしてさらに「並行処理を意識した」APIを備えたライブラリのデザインをする際に考えることなどを紹介します。","ライブラリコードを一度提供してしまうと、それをユーザがどう使うかは提供者側はほとんどコントロールできません。
やってはいけないという指示をドキュメントに書いてもユーザはドキュメントを読みませんし、
思い違いで間違った使い方をすることもあります。

通常の使い方でもこのようなことは起こりうるのに、Goではどのメソッドでも簡単にgoキーワードで並行実行が可能となって
しまいます。つまり、意図していないメソッドでも並行実行される可能性があるわけです。それとは別に、パフォーマンスのため
にライブラリ側から意図的に並行実行を促したいメソッドもあるでしょう。

このトークは基本的にこれらの前提をもとに、どのようにして正しく動作するだけでなくよりGoらしいライブラリAPIを提供するか、という点について解説します。

具体的には
* 排他処理を必要としないgoroutineごとのステート管理のパターン
* context.Contextを含むメソッド引数の考え方
* 呼び出し元との交信方法
* それでも必要となった場合の排他処理
のについて解説しつつ、GoらしいAPIをデザインする考え方について語ります

"
